run_dir,setting,language_mode,language,model_family,seed,eval_language,macro_f1_normal,macro_f1_global_single_mask,delta_macro_f1_global_single_mask,n_has_mwe_prev_next_global_single_mask,n_no_mwe_prev_next_global_single_mask,macro_f1_has_mwe_prev_next_global_single_mask,macro_f1_no_mwe_prev_next_global_single_mask,macro_f1_global_n_mask,delta_macro_f1_global_n_mask,n_has_mwe_prev_next_global_n_mask,n_no_mwe_prev_next_global_n_mask,macro_f1_has_mwe_prev_next_global_n_mask,macro_f1_no_mwe_prev_next_global_n_mask,macro_f1_targeted_context_mask,delta_macro_f1_targeted_context_mask,n_has_mwe_prev_next_targeted_context_mask,n_no_mwe_prev_next_targeted_context_mask,macro_f1_has_mwe_prev_next_targeted_context_mask,macro_f1_no_mwe_prev_next_targeted_context_mask,delta_macro_f1_global_n_minus_single
zero_shot__EN_PT_GL__target_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6289455225625439,0.27622377622377625,-0.3527217463387676,46,161,0.35211267605633806,0.25116279069767444,0.2787456445993031,-0.35019987796324076,46,161,0.3611111111111111,0.25116279069767444,0.2787456445993031,-0.35019987796324076,46,161,0.3611111111111111,0.25116279069767444,0.00252186837552687
zero_shot__EN_PT_GL__target_True_none_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6759090909090909,0.3298102908516844,-0.3460988000574065,46,161,0.3611111111111111,0.31147055087437014,0.3298102908516844,-0.3460988000574065,46,161,0.3611111111111111,0.31147055087437014,0.3298102908516844,-0.3460988000574065,46,161,0.3611111111111111,0.31147055087437014,0.0
zero_shot__EN_PT_GL__target_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.8429418103448276,0.5005889281507656,-0.342352882194062,57,367,0.41237113402061865,0.49505571871102705,0.49171201365744666,-0.35122979668738097,57,367,0.41237113402061865,0.485348162475822,0.49171201365744666,-0.35122979668738097,57,367,0.41237113402061865,0.485348162475822,-0.008876914493318955
zero_shot__EN_PT_GL__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6782847970648934,0.3369565217391304,-0.34132827532576304,46,161,0.4362745098039216,0.3074392712550607,0.3320461278036394,-0.346238669261254,46,161,0.4362745098039216,0.30178571428571427,0.34599761051373956,-0.33228718655115386,46,161,0.5072463768115942,0.30178571428571427,-0.004910393935490975
zero_shot__EN_PT_GL__target_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.0
zero_shot__EN_PT_GL__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.0
zero_shot__EN_PT_GL__target_True_none_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.0
zero_shot__EN_PT_GL__target_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,GL,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0,6,,0.3333333333333333,0.0
zero_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.9030640979173057,0.578409090909091,-0.3246550070082147,57,367,0.7361111111111112,0.5527428113044551,0.5385061919504645,-0.36455790596684123,57,367,0.6620553359683794,0.5162869516098664,0.5519729493101471,-0.3510911486071586,57,367,0.8093645484949833,0.5162869516098664,-0.03990289895862653
zero_shot__EN_PT_GL__target_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6592592592592593,0.3416579770594369,-0.3176012821998224,46,161,0.4025974025974026,0.3177966101694915,0.3416579770594369,-0.3176012821998224,46,161,0.4025974025974026,0.3177966101694915,0.3416579770594369,-0.3176012821998224,46,161,0.4025974025974026,0.3177966101694915,0.0
