run_dir,setting,language_mode,language,model_family,seed,macro_f1_normal,macro_f1_global_single_mask,delta_macro_f1_global_single_mask,n_has_mwe_prev_next_global_single_mask,n_no_mwe_prev_next_global_single_mask,macro_f1_has_mwe_prev_next_global_single_mask,macro_f1_no_mwe_prev_next_global_single_mask,macro_f1_global_n_mask,delta_macro_f1_global_n_mask,n_has_mwe_prev_next_global_n_mask,n_no_mwe_prev_next_global_n_mask,macro_f1_has_mwe_prev_next_global_n_mask,macro_f1_no_mwe_prev_next_global_n_mask,macro_f1_targeted_context_mask,delta_macro_f1_targeted_context_mask,n_has_mwe_prev_next_targeted_context_mask,n_no_mwe_prev_next_targeted_context_mask,macro_f1_has_mwe_prev_next_targeted_context_mask,macro_f1_no_mwe_prev_next_targeted_context_mask,delta_macro_f1_global_n_minus_single
zero_shot__EN__target_True_highlight_empty__logreg_word2vec__seed51,zero_shot,per_language,EN,logreg_word2vec,51,0.6511889505112292,0.5913939937247872,-0.05979495678644198,57,367,0.4722222222222222,0.6015141599238458,0.562569439720654,-0.08861951079057517,57,367,0.4352134146341463,0.5714670658682635,0.562569439720654,-0.08861951079057517,57,367,0.4352134146341463,0.5714670658682635,-0.028824554004133196
zero_shot__EN__target_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.7734588926734789,0.7187749073377366,-0.05468398533574226,57,367,0.6495479204339963,0.718558282208589,0.6592310329517161,-0.11422785972176275,57,367,0.6845466155810984,0.6453315492120131,0.6592310329517161,-0.11422785972176275,57,367,0.6845466155810984,0.6453315492120131,-0.05954387438602049
zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.6504559270516717,0.6029642545771577,-0.04749167247451391,46,161,0.6057142857142856,0.5977897277384935,0.5988372093023255,-0.05161871774934612,46,161,0.6057142857142856,0.5926113360323886,0.5988372093023255,-0.05161871774934612,46,161,0.6057142857142856,0.5926113360323886,-0.004127045274832208
zero_shot__EN__target_True_none_empty__logreg_tfidf__seed51,zero_shot,per_language,EN,logreg_tfidf,51,0.5964264840945145,0.5525053198468797,-0.043921164247634814,57,367,0.4107865168539325,0.5545315590721093,0.5246497267663339,-0.07177675732818056,57,367,0.4367588932806324,0.5203714318468418,0.5246497267663339,-0.07177675732818056,57,367,0.4367588932806324,0.5203714318468418,-0.02785559308054575
zero_shot__EN__target_True_none_ner__logreg_word2vec__seed51,zero_shot,per_language,EN,logreg_word2vec,51,0.641309913399675,0.6045284199120902,-0.03678149348758486,57,367,0.484629294755877,0.6130071882611536,0.5932568511402204,-0.048053062259454604,57,367,0.5095398428731762,0.5960554497858163,0.5855560299305664,-0.05575388346910859,57,367,0.4970588235294118,0.5901822404859747,-0.011271568771869744
zero_shot__EN__target_True_highlight_ner__logreg_tfidf__seed51,zero_shot,per_language,EN,logreg_tfidf,51,0.6603773584905661,0.6306867671691792,-0.02969059132138696,57,367,0.484629294755877,0.6430093634210272,0.6227145791243907,-0.03766277936617546,57,367,0.484629294755877,0.6345490755603115,0.6068302612235668,-0.053547097266999355,57,367,0.5655487804878049,0.6051640667025282,-0.007972188044788497
zero_shot__EN__target_True_highlight_ner__logreg_word2vec__seed51,zero_shot,per_language,EN,logreg_word2vec,51,0.6551693404634581,0.6261607142857144,-0.02900862617774369,57,367,0.484629294755877,0.6375914170100605,0.6042285200179935,-0.05094082044546455,57,367,0.5095398428731762,0.6091936048373283,0.5950883498053309,-0.06008099065812722,57,367,0.5221036585365854,0.597109891340876,-0.02193219426772086
zero_shot__EN__previous_target_next_True_none_empty__logreg_word2vec__seed51,zero_shot,per_language,EN,logreg_word2vec,51,0.6414775255896751,0.6152043071817913,-0.02627321840788377,57,367,0.5655487804878049,0.6099371957337694,0.6077836970331899,-0.03369382855648517,57,367,0.5476190476190477,0.6019404493046476,0.6079322638146167,-0.033545261775058344,57,367,0.5655487804878049,0.6019404493046476,-0.007420610148601403
zero_shot__EN__previous_target_next_True_none_ner__logreg_word2vec__seed51,zero_shot,per_language,EN,logreg_word2vec,51,0.6496259073143494,0.6288064237321214,-0.02081948358222807,57,367,0.5389705882352942,0.6267880951842897,0.6219601899115084,-0.027665717402841072,57,367,0.5389705882352942,0.6192259112233851,0.6242454644260513,-0.025380442888298105,57,367,0.5670886075949367,0.6192259112233851,-0.006846233820613001
zero_shot__EN__previous_target_next_True_highlight_ner__logreg_word2vec__seed51,zero_shot,per_language,EN,logreg_word2vec,51,0.6620869252873562,0.6421940928270041,-0.019892832460352117,57,367,0.5534188034188035,0.6418537094614529,0.6450892857142857,-0.016997639573070544,57,367,0.5670886075949367,0.6428910864203118,0.6473589318507851,-0.014727993436571163,57,367,0.594017094017094,0.6428910864203118,0.0028951928872815724
zero_shot__EN__previous_target_next_True_highlight_empty__logreg_word2vec__seed51,zero_shot,per_language,EN,logreg_word2vec,51,0.6461949265687583,0.6272257834757835,-0.018969143092974816,57,367,0.579090555771473,0.6203401183343876,0.6295500709535602,-0.01664485561519813,57,367,0.579090555771473,0.6231696428571428,0.6318707005944033,-0.01432422597435501,57,367,0.5928571428571429,0.6231696428571428,0.0023242874777766875
zero_shot__EN__previous_target_next_True_highlight_empty__logreg_tfidf__seed51,zero_shot,per_language,EN,logreg_tfidf,51,0.6836173293239781,0.6647288116716784,-0.018888517652299708,57,367,0.579090555771473,0.6644914340926826,0.6509232656215871,-0.03269406370239103,57,367,0.5874840357598978,0.6457108061545773,0.6511889505112292,-0.03242837881274896,57,367,0.6068965517241379,0.6457108061545773,-0.013805546050091322
one_shot__EN__previous_target_next_True_none_empty__logreg_tfidf__seed51,one_shot,per_language,EN,logreg_tfidf,51,0.6691241754411348,0.6536617133384642,-0.015462462102670549,54,336,0.5701717637201509,0.6541614906832298,0.6396610437950423,-0.02946313164609249,54,336,0.5178571428571429,0.6428444885377174,0.639879696074293,-0.029244479366841825,54,336,0.5384615384615385,0.6428444885377174,-0.01400066954342194
one_shot__EN__previous_target_next_True_none_empty__logreg_word2vec__seed51,one_shot,per_language,EN,logreg_word2vec,51,0.6536617133384642,0.6384401443872418,-0.015221568951222397,54,336,0.5178571428571429,0.637178171433671,0.6333309226227655,-0.020330790715698766,54,336,0.5178571428571429,0.6318906930551969,0.6333309226227655,-0.020330790715698766,54,336,0.5384615384615385,0.6318906930551969,-0.005109221764476368
zero_shot__EN__previous_target_next_True_none_ner__logreg_tfidf__seed51,zero_shot,per_language,EN,logreg_tfidf,51,0.6785300151636786,0.6647288116716784,-0.013801203492000202,57,367,0.6227941176470588,0.6586558655865586,0.665027261600089,-0.013502753563589653,57,367,0.6233968130586863,0.6567912318108705,0.6836173293239781,0.005087314160299505,57,367,0.6524390243902439,0.6748017541751772,0.00029844992841054907
zero_shot__EN__target_True_none_empty__logreg_word2vec__seed51,zero_shot,per_language,EN,logreg_word2vec,51,0.6471540992030026,0.6336984087172198,-0.013455690485782767,57,367,0.5258589511754068,0.6403029403029403,0.602414441730537,-0.044739657472465555,57,367,0.5521885521885522,0.6013244047619049,0.602414441730537,-0.044739657472465555,57,367,0.5521885521885522,0.6013244047619049,-0.03128396698668279
zero_shot__EN__previous_target_next_True_none_empty__logreg_tfidf__seed51,zero_shot,per_language,EN,logreg_tfidf,51,0.6742673911107153,0.662643898802072,-0.011623492308643346,57,367,0.5808823529411764,0.6642119122536878,0.6446768570662376,-0.029590534044477756,57,367,0.5476190476190477,0.6457739368020908,0.6496259073143494,-0.02464148379636588,57,367,0.6089939024390244,0.6457739368020908,-0.01796704173583441
zero_shot__PT__target_True_highlight_ner__logreg_word2vec__seed51,zero_shot,per_language,PT,logreg_word2vec,51,0.4458414799217928,0.43779852027596544,-0.008042959645827352,46,161,0.32916666666666666,0.46697716177543347,0.43779852027596544,-0.008042959645827352,46,161,0.32916666666666666,0.46697716177543347,0.43779852027596544,-0.008042959645827352,46,161,0.32916666666666666,0.46697716177543347,0.0
